Battle Date,Time remaining,,,Result,Stars,Star Gain,XP,,Result,Stars,Star Gain
8/17/2015,23:10,26,Isa_Kalvari,Defended,,,,21,20%,0,0
8/17/2015,23:27,14,destroyor,46%,0,0,0,19,Defended,,
8/17/2015,23:43,13,dimple,0%,0,0,0,15,Defended,,
8/17/2015,23:46,21,Penwing,100%,3,3,3,20,Defeat,,
8/17/2015,23:47,13,dimple,100%,3,3,3,25,Defeat,,
8/17/2015,23:47,14,destroyor,100%,3,3,2,30,Defeat,,
8/17/2015,23:49,29,aaron,Defeat,,,,20,100%,3,3
8/17/2015,23:56,20,Messi-10-11,Defeat,,,,20,100%,3,3
8/17/2015,23:57,23,อาบีดิง,Defeat,,,,17,100%,3,3
8/17/2015,23:57,24,oppo_21,100%,3,3,3,24,Defeat,,
8/20/2015,0:06,3,Go Nudi,Defeat,,,,3,50%,1,0
8/20/2015,0:15,7,bbbbbb,Defeat,,,,3,100%,3,3
8/20/2015,1:25,6,Alabaster,100%,3,3,4,15,Defeat,,
8/20/2015,1:36,3,Go Nudi,100%,3,3,4,13,Defeat,,
8/20/2015,2:25,12,Penwing,100%,3,3,4,14,Defeat,,
8/20/2015,3:20,1,Magna,100%,3,3,5,2,Defeat,,
8/20/2015,9:06,2,dddddd,Defeat,,,,1,54%,1,1
8/20/2015,10:43,2,dddddd,75%,2,2,5,4,Defeat,,
8/20/2015,10:51,3,Go Nudi,100%,3,3,4,6,Defeat,,
8/20/2015,11:16,6,Alabaster,48%,0,0,0,6,Defended,,
8/20/2015,11:24,7,bbbbbb,100%,3,2,0,8,Defeat,,
8/20/2015,12:58,7,bbbbbb,Defended,,,,7,40%,0,0
8/20/2015,14:15,4,Thanatos,Defeat,,,,2,100%,3,3
8/20/2015,14:31,5,Mary Grace,100%,3,3,4,12,Defeat,,
8/20/2015,14:35,11,kewal,28%,0,0,0,13,Defended,,
8/20/2015,14:48,5,Mary Grace,77%,1,1,4,8,Defeat,,
8/20/2015,14:51,11,kewal,86%,2,0,0,10,Defeat,,
8/20/2015,16:00,1,Magna,100%,3,3,5,3,Defeat,,
8/20/2015,16:55,7,bbbbbb,79%,1,1,4,7,Defeat,,
8/20/2015,20:57,15,ayu,34%,0,0,0,14,Defended,,
8/20/2015,21:05,9,javier,100%,3,3,4,11,Defeat,,
8/20/2015,21:06,1,Magna,Defeat,,,,1,50%,1,1
8/20/2015,21:10,9,javier,Defeat,,,,8,100%,3,3
8/20/2015,21:14,6,Alabaster,Defeat,,,,4,100%,3,3
8/20/2015,21:37,15,ayu,34%,0,0,0,13,Defended,,
8/20/2015,22:31,3,Go Nudi,Defeat,,,,2,91%,1,1
8/20/2015,22:38,11,kewal,Defeat,,,,9,100%,3,3
8/20/2015,22:41,13,destroyer,Defeat,,,,10,100%,3,3
8/20/2015,22:45,15,ayu,Defeat,,,,14,100%,3,3
8/20/2015,22:47,9,javier,59%,2,2,4,9,Defeat,,
8/20/2015,22:49,12,Penwing,Defeat,,,,13,100%,3,3
8/20/2015,22:51,14,oppo_21,Defeat,,,,11,100%,3,3
8/20/2015,22:54,10,dimple,Defeat,,,,9,100%,3,3
8/20/2015,23:00,8,Makara,100%,3,3,4,10,Defeat,,
8/20/2015,23:00,8,Makara,Defeat,,,,8,100%,3,3
8/20/2015,23:03,5,Mary Grace,Defeat,,,,4,100%,3,3
8/20/2015,23:34,8,Makara,42%,0,0,0,9,Defended,,
8/24/2015,0:21,5,Alabaster,12%,1,0,0,1,Defeat,,
8/24/2015,0:25,2,Go Nudi,12%,1,0,0,1,Defeat,,
8/24/2015,0:26,25,oppo_21,Defeat,,,,4,100%,3,3
8/24/2015,0:48,6,bbbbbb,12%,1,0,0,1,Defeat,,
8/24/2015,0:52,16,Isa_Kalvari,77%,2,2,3,25,Defeat,,
8/24/2015,1:03,4,Mary Grace,100%,3,3,2,29,Defeat,,
8/24/2015,1:05,1,dddddd,54%,2,2,0,1,Defeat,,
8/24/2015,1:31,34,Parcur,Defended,,,,6,5%,0,0
8/24/2015,1:35,35,Messi-10-11,Defended,,,,6,0%,0,0
8/24/2015,2:56,13,lemuel 10,Defeat,,,,10,86%,2,0
8/24/2015,3:22,35,Messi-10-11,Defended,,,,17,20%,0,0
8/24/2015,3:24,32,Clan Concerour,Defended,,,,17,11%,0,0
8/24/2015,4:06,17,Maza123,100%,3,1,0,33,Defeat,,
8/24/2015,4:25,17,Maza123,100%,3,3,2,26,Defeat,,
8/24/2015,6:16,3,aiden,Defended,,,,2,35%,0,0
8/24/2015,9:24,1,dddddd,100%,3,3,5,2,Defeat,,
8/24/2015,9:27,19,arian,100%,3,3,2,28,Defeat,,
8/24/2015,9:31,2,Go Nudi,100%,3,3,5,3,Defeat,,
8/24/2015,9:52,30,jimmy,0%,0,0,0,28,Defended,,
8/24/2015,10:17,25,oppo_21,52%,1,1,4,14,Defeat,,
8/24/2015,10:23,4,Mary Grace,Defeat,,,,2,100%,3,3
8/24/2015,10:26,18,souyhour,100%,3,3,2,27,Defeat,,
8/24/2015,10:28,18,souyhour,0%,0,0,0,24,Defended,,
8/24/2015,10:49,22,centries,60%,1,1,2,31,Defeat,,
8/24/2015,11:09,5,Alabaster,100%,3,3,4,8,Defeat,,
8/24/2015,11:13,22,centries,100%,3,3,2,30,Defeat,,
8/24/2015,12:00,19,arian,96%,2,2,2,33,Defeat,,
8/24/2015,12:33,25,oppo_21,100%,3,3,3,18,Defeat,,
8/24/2015,12:35,12,ikhsan,100%,3,3,4,15,Defeat,,
8/24/2015,12:53,6,bbbbbb,100%,3,3,5,5,Defeat,,
8/24/2015,19:26,10,kewal,100%,3,3,3,16,Defeat,,
8/24/2015,19:51,3,aiden,Defeat,,,,1,68%,1,1
8/24/2015,20:11,24,ayu,100%,3,3,2,32,Defeat,,
8/24/2015,20:12,1,dddddd,Defended,,,,1,44%,0,0
8/24/2015,20:30,24,ayu,,,,,34,Defeat,,
8/24/2015,21:39,13,lemuel 10,Defeat,,,,7,100%,3,3
8/24/2015,21:45,4,Mary Grace,100%,3,3,4,9,Defeat,,
8/24/2015,21:45,10,kewal,100%,3,3,3,17,Defeat,,
8/24/2015,21:53,30,jimmy,Defended,,,,19,0%,0,0
8/24/2015,22:09,20,BaiM,23%,0,0,0,32,Defended,,
8/24/2015,22:14,20,BaiM,39%,0,0,0,35,Defended,,
8/24/2015,22:32,16,Isa_Kalvari,100%,3,3,2,35,Defeat,,
8/24/2015,22:43,8,javier,Defended,,,,11,23%,0,0
8/24/2015,23:16,24,ayu,Defended,,,,12,25%,0,0
8/24/2015,23:22,15,ttttht,Defeat,,,,11,85%,2,2
8/24/2015,23:30,11,dimple,100%,3,3,3,21,Defeat,,
8/24/2015,23:31,31,field luke,Defeat,,,,19,100%,3,3
8/24/2015,23:42,7,Makara,Defended,,,,4,42%,0,0
8/24/2015,23:42,7,Makara,21%,1,1,4,13,Defeat,,
8/24/2015,23:49,7,Makara,76%,1,1,4,12,Defeat,,
8/24/2015,23:55,11,dimple,100%,3,3,3,19,Defeat,,
8/27/2015,1:45,3,Go Nudi,100%,3,3,3,16,Defeat,,
8/27/2015,2:23,19,flaming Phoenix,87%,2,1,0,19,Defeat,,
8/27/2015,2:52,20,alexa,35%,0,0,0,16,Defended,,
8/27/2015,2:55,5,oppo_21,Defended,,,,6,28%,0,0
8/27/2015,2:58,3,Go Nudi,100%,3,3,4,15,Defeat,,
8/27/2015,4:06,20,alexa,Defeat,,,,13,60%,2,2
8/27/2015,4:50,5,oppo_21,100%,3,3,5,4,Defeat,,
8/27/2015,6:46,19,flaming Phoenix,100%,3,3,3,25,Defeat,,
8/27/2015,7:36,1,Magna,49%,0,0,0,1,Defended,,
8/27/2015,9:24,14,Isa_Kalvari,100%,3,3,3,24,Defeat,,
8/27/2015,11:14,15,souyhour,0%,0,0,0,16,Defended,,
8/27/2015,11:48,6,Mary Grace,100%,3,3,4,12,Defeat,,
8/27/2015,11:53,7,Alabaster,100%,3,3,4,7,Defeat,,
8/27/2015,12:49,5,oppo_21,65%,2,0,0,3,Defeat,,
8/27/2015,13:03,17,oppo_21,35%,0,0,0,12,Defended,,
8/27/2015,13:06,17,oppo_21,6%,0,0,0,14,Defended,,
8/27/2015,13:30,16,Maza123,Defeat,,,,7,100%,3,3
8/27/2015,14:55,6,Mary Grace,100%,3,3,4,9,Defeat,,
8/27/2015,15:34,11,kewal,100%,3,0,0,14,Defeat,,
8/27/2015,15:58,11,Kewal,30%,0,0,0,11,Defended,,
8/27/2015,16:07,4,Thanatos,100%,3,3,4,6,Defeat,,
8/27/2015,17:34,2,dddddd,100%,3,3,5,2,Defeat,,
8/27/2015,17:49,7,Alabaster,100%,3,3,4,10,Defeat,,
8/27/2015,18:24,9,Makara,100%,3,3,4,11,Defeat,,
8/27/2015,18:47,4,Thanatos,100%,3,3,5,5,Defeat,,
8/27/2015,20:45,5,oppo_21,Defended,,,,3,37%,0,0
8/27/2015,20:49,14,Isa_Kalvari,52%,1,1,3,18,Defeat,,
8/27/2015,20:55,8,bbbbbb,100%,3,3,4,8,Defeat,,
8/27/2015,21:52,17,oppo_21,Defended,,,,11,11%,0,0
8/27/2015,21:54,12,ayu,100%,3,3,3,20,Defeat,,
8/27/2015,21:56,23,etdjtk,Defended,,,,11,0%,0,0
8/27/2015,22:17,12,ayu,100%,3,3,3,21,Defeat,,
8/27/2015,22:21,15,souyhour,79%,1,1,3,19,Defeat,,
8/27/2015,23:34,6,Mary Grace,Defeat,,,,1,100%,3,3
8/27/2015,23:35,25,Messi-10-11,Defeat,,,,21,62%,2,2
8/27/2015,23:38,24,Clan Concerour,Defeat,,,,21,58%,2,2
8/27/2015,1:00:00,10,dimple,100%,3,3,4,14,Defeat,,
8/27/2015,1:00:33,10,dimple,100%,3,3,4,13,Defeat,,
8/27/2015,1:00:35,1,Magna,100%,3,3,5,3,Defeat,,
8/27/2015,1:00:52,18,centries,100%,3,3,3,22,Defeat,,
8/27/2015,1:00:55,18,centries,100%,3,3,3,23,Defeat,,
8/27/2015,1:00:58,9,Makara,16%,0,0,0,12,Defended,,
8/30/2015,0:10,1,Magna,100%,3,3,2,35,Defeat,,
8/30/2015,0:14,17,Penwing,100%,3,3,2,27,Defeat,,
8/30/2015,0:29,25,Maza123,Defended,,,,11,36%,0,0
